epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,10724.5,0.46567,0.28986,0.82724,0.94715,0.95147,0.95495,0.8266,0.35309,0.32639,0.55536,0.000643625,0.000643625,0.000643625
149,10796.5,0.4656,0.29125,0.83613,0.92924,0.95571,0.95506,0.82801,0.34956,0.31118,0.55422,0.0006395,0.0006395,0.0006395
150,10868.6,0.44723,0.28496,0.82393,0.95677,0.95379,0.96565,0.83381,0.34924,0.29808,0.5553,0.000635375,0.000635375,0.000635375
151,10940.4,0.45271,0.29329,0.8227,0.95497,0.96941,0.97172,0.82948,0.34748,0.28814,0.55458,0.00063125,0.00063125,0.00063125
152,11012.5,0.44034,0.28952,0.8213,0.96807,0.95972,0.96748,0.83082,0.34761,0.29071,0.55608,0.000627125,0.000627125,0.000627125
153,11084.9,0.45495,0.29736,0.82311,0.96702,0.95844,0.97211,0.83443,0.34631,0.29576,0.55306,0.000623,0.000623,0.000623
154,11157,0.44271,0.29119,0.8187,0.95147,0.95266,0.9595,0.82865,0.35462,0.32822,0.55529,0.000618875,0.000618875,0.000618875
155,11229,0.42562,0.27258,0.81764,0.95282,0.94738,0.9628,0.83407,0.35154,0.30577,0.55616,0.00061475,0.00061475,0.00061475
156,11301.1,0.44114,0.28513,0.83118,0.93893,0.95367,0.96634,0.83222,0.35075,0.28272,0.55736,0.000610625,0.000610625,0.000610625
157,11373.1,0.44747,0.28887,0.82961,0.94632,0.9529,0.97462,0.83609,0.35545,0.28394,0.5568,0.0006065,0.0006065,0.0006065
158,11445.3,0.43957,0.28737,0.82541,0.94293,0.95593,0.96849,0.83551,0.34705,0.27384,0.55578,0.000602375,0.000602375,0.000602375
159,11517.3,0.43492,0.28288,0.82753,0.96196,0.95199,0.97108,0.83744,0.34148,0.27085,0.55277,0.00059825,0.00059825,0.00059825
160,11589.5,0.4521,0.28811,0.831,0.95956,0.96466,0.96937,0.83056,0.34551,0.2723,0.55232,0.000594125,0.000594125,0.000594125
161,11661.6,0.44212,0.28384,0.82556,0.96683,0.96202,0.96229,0.83783,0.3385,0.27099,0.55258,0.00059,0.00059,0.00059
162,11733.5,0.44605,0.2904,0.82401,0.97206,0.96244,0.96753,0.84477,0.34544,0.27364,0.55468,0.000585875,0.000585875,0.000585875
163,11805.6,0.45108,0.29019,0.83253,0.9764,0.96582,0.97042,0.84163,0.34894,0.2833,0.55207,0.00058175,0.00058175,0.00058175
164,11877.5,0.4442,0.28084,0.81925,0.97182,0.96808,0.96378,0.83972,0.34139,0.29324,0.5511,0.000577625,0.000577625,0.000577625
165,11949.5,0.44633,0.28917,0.83485,0.9653,0.96318,0.96079,0.83393,0.34322,0.28803,0.5519,0.0005735,0.0005735,0.0005735
